	R(5, 4)		R(10, 4)	Richardson Extrap.	R(5, 4)		R(10, 4)	Richardson Extrap.
l	a_l			a_l			a_l					b_l			b_l			b_l
0	1.2369e+00  1.2518e+00  1.2518e+00  		0.0000e+00  0.0000e+00  0.0000e+00  
1	3.7718e-02  2.1609e-02  2.1593e-02  		1.7389e-17  1.8219e-17  1.8220e-17  
2	-5.5643e-02  -2.2042e-02  -2.2009e-02  		-2.5521e-16  -2.3629e-17  -2.3402e-17  
3	1.0037e-01  2.2799e-02  2.2724e-02  		5.4769e-17  -1.6620e-17  -1.6690e-17  
4	1.2528e-01  -2.3840e-02  -2.3986e-02  		-1.2116e-16  3.8058e-18  3.9280e-18  
5	-7.2447e-02  2.5452e-02  2.5548e-02  		1.3137e-18  3.9420e-17  3.9457e-17  
6	1.6174e-02  -2.7847e-02  -2.7890e-02  		8.0903e-16  -1.6992e-17  -1.7799e-17  
7	-7.7042e-02  3.1191e-02  3.1297e-02  		-7.3488e-16  -4.3151e-17  -4.2475e-17  
8	1.6059e-02  -3.6376e-02  -3.6427e-02  		1.7018e-16  3.7462e-17  3.7332e-17  
9	5.7151e-02  4.4767e-02  4.4755e-02  		-1.8111e-16  -4.4131e-17  -4.3997e-17  
10	-5.1770e-02  -6.0240e-02  -6.0248e-02  		2.3577e-16  -1.6962e-17  -1.7209e-17  
11	8.5088e-02  9.8276e-02  9.8289e-02  		-9.9444e-17  4.4021e-17  4.4161e-17  
12	-3.2157e-01  -3.2755e-01  -3.2756e-01  		1.0309e-15  2.0183e-18  1.0126e-18  
13	-2.2361e-01  -2.0792e-01  -2.0791e-01  		4.8513e-16  2.3608e-17  2.3157e-17  
14	8.6630e-02  7.4174e-02  7.4162e-02  		-1.0169e-15  -7.0926e-17  -7.0002e-17  
15	-8.6478e-02  -4.3352e-02  -4.3310e-02  		5.2725e-16  -3.6469e-17  -3.7020e-17  
16	-5.0869e-01  2.9709e-02  3.0236e-02  		1.8157e-16  -6.8888e-17  -6.9133e-17  
17	-8.6478e-02  -2.1853e-02  -2.1790e-02  		6.1824e-16  7.9973e-17  7.9447e-17  
18	8.6630e-02  1.6668e-02  1.6600e-02  		-9.5649e-16  1.1630e-17  1.2577e-17  
19	-2.2361e-01  -1.2987e-02  -1.2781e-02  		7.0455e-16  3.9956e-17  3.9307e-17  
20	-3.2157e-01  9.9376e-03  1.0262e-02  		4.1129e-16  8.7120e-17  8.6803e-17  
21	8.5088e-02  -7.2608e-03  -7.3511e-03  		-5.9396e-16  2.3522e-17  2.4126e-17  
22	-5.1770e-02  4.4383e-03  4.4932e-03  		-1.1356e-15  -4.4928e-17  -4.3862e-17  
23	5.7151e-02  -1.7521e-04  -2.3125e-04  		2.1635e-16  -6.7788e-17  -6.8066e-17  
24	1.6059e-02  -1.1755e-02  -1.1782e-02  		-1.0218e-15  -1.1449e-16  -1.1361e-16  
25	-7.7042e-02  -8.6776e-02  -8.6785e-02  		6.0017e-16  5.1243e-17  5.0706e-17  
26	1.6174e-02  2.0008e-02  2.0011e-02  		-1.2791e-16  -1.5155e-17  -1.5045e-17  
27	-7.2447e-02  -1.3519e-02  -1.3461e-02  		-8.1114e-16  5.8896e-17  5.9746e-17  
28	1.2528e-01  1.0904e-02  1.0792e-02  		-3.1051e-16  -8.3417e-17  -8.3195e-17  
29	1.0037e-01  -9.3109e-03  -9.4181e-03  		-8.6526e-16  -1.9731e-18  -1.1292e-18  
30	-5.5643e-02  8.3118e-03  8.3743e-03  		1.9304e-15  -6.4041e-18  -8.2973e-18  
31	3.7718e-02  -7.7156e-03  -7.7600e-03  		-1.1170e-16  2.1269e-16  2.1301e-16  
32	1.2369e+00  7.2514e-03  6.0494e-03  		3.0111e-16  1.7324e-16  1.7311e-16  
33	3.7718e-02  -7.1264e-03  -7.1702e-03  		-3.1742e-16  1.1720e-16  1.1763e-16  
34	-5.5643e-02  7.2809e-03  7.3424e-03  		1.1332e-15  7.7931e-17  7.6899e-17  
35	1.0037e-01  -7.8733e-03  -7.9791e-03  		-1.6332e-16  -6.9679e-18  -6.8151e-18  
36	1.2528e-01  1.0147e-02  1.0034e-02  		-2.6432e-16  -1.1470e-16  -1.1455e-16  
37	-7.2447e-02  -3.8258e-02  -3.8225e-02  		-7.2353e-16  1.3897e-16  1.3981e-16  
38	1.6174e-02  -4.4917e-03  -4.5119e-03  		1.8198e-15  -2.7042e-17  -2.8847e-17  
39	-7.7042e-02  -6.6962e-05  8.2827e-06  		-7.4808e-16  -1.1739e-16  -1.1678e-16  
40	1.6059e-02  1.2752e-03  1.2608e-03  		-2.7251e-16  -2.9960e-16  -2.9962e-16  
41	5.7151e-02  -1.7019e-03  -1.7594e-03  		-1.2180e-15  2.1204e-16  2.1343e-16  
42	-5.1770e-02  2.0332e-03  2.0858e-03  		-4.6315e-16  -2.2496e-16  -2.2473e-16  
